order_id,customer_id,product_id,purchase_amount,is_reordered,purchased_on,event_time
O114,C339,P7550,61.38,1,2020-03-26 16:41:22,2024-05-02T05:39:17.174Z
O115,C5657,P942,54.26,1,2020-10-15 10:53:27,2024-05-02T05:39:17.174Z
O116,C8436,P9194,72.84,1,2020-12-18 11:25:25,2024-05-02T05:39:17.174Z
O117,C2595,P7687,23.93,0,2020-06-15 13:54:10,2024-05-02T05:39:17.174Z
O118,C4435,P6113,74.63,1,2020-05-04 17:27:42,2024-05-02T05:39:17.174Z
O119,C8989,P6452,77.72,0,2020-11-02 09:43:43,2024-05-02T05:39:17.174Z
O120,C2669,P15185,47.54,1,2020-07-17 13:39:31,2024-05-02T05:39:17.174Z
O121,C8723,P16810,12.57,0,2021-04-05 00:15:03,2024-05-02T05:39:17.174Z
O122,C3217,P5829,1.0,1,2020-06-01 19:14:05,2024-05-02T05:39:17.174Z
O123,C4037,P3796,39.82,0,2021-05-15 04:00:19,2024-05-02T05:39:17.174Z
O124,C4046,P2719,101.5,0,2020-02-03 19:39:07,2024-05-02T05:39:17.174Z
O125,C7973,P12725,27.24,0,2021-05-09 05:39:27,2024-05-02T05:39:17.174Z
O126,C386,P3008,98.69,1,2020-12-01 00:19:12,2024-05-02T05:39:17.174Z
O127,C4022,P2339,20.09,1,2020-09-17 11:35:40,2024-05-02T05:39:17.174Z
O128,C587,P8874,38.81,0,2020-12-07 07:14:21,2024-05-02T05:39:17.174Z
O129,C5286,P12648,72.72,1,2020-03-05 09:57:30,2024-05-02T05:39:17.174Z
O130,C4464,P4704,89.91,1,2020-02-08 21:05:17,2024-05-02T05:39:17.174Z
O131,C4801,P6548,76.29,0,2020-07-29 12:58:23,2024-05-02T05:39:17.174Z
O132,C8035,P14717,100.37,1,2020-01-08 10:29:58,2024-05-02T05:39:17.174Z
O133,C9849,P16011,93.02,1,2020-09-28 23:48:54,2024-05-02T05:39:17.174Z
O134,C3075,P10736,90.46,1,2021-02-21 20:25:16,2024-05-02T05:39:17.174Z
O135,C3805,P12945,34.27,0,2020-01-29 19:23:41,2024-05-02T05:39:17.174Z
O136,C4347,P4983,11.65,1,2020-02-17 19:11:52,2024-05-02T05:39:17.174Z
O137,C9152,P6797,16.3,0,2021-01-28 16:00:28,2024-05-02T05:39:17.174Z
O138,C2093,P8903,61.04,0,2020-12-15 21:23:07,2024-05-02T05:39:17.174Z
O139,C7650,P14936,61.84,1,2020-05-27 21:45:14,2024-05-02T05:39:17.174Z
O140,C4574,P13111,93.2,1,2020-11-17 11:49:17,2024-05-02T05:39:17.174Z
O141,C7693,P18,11.48,1,2021-02-22 06:22:27,2024-05-02T05:39:17.174Z
O142,C2803,P11942,57.87,1,2020-12-29 04:19:39,2024-05-02T05:39:17.174Z
O143,C3184,P7160,32.95,1,2020-09-20 15:50:54,2024-05-02T05:39:17.174Z
O144,C6034,P14224,56.38,1,2020-04-11 19:12:23,2024-05-02T05:39:17.174Z
O145,C5704,P11198,9.54,1,2020-07-28 11:15:30,2024-05-02T05:39:17.174Z
O146,C5871,P3278,80.84,1,2020-10-17 18:07:24,2024-05-02T05:39:17.174Z
O147,C1812,P302,92.3,0,2021-05-24 16:48:09,2024-05-02T05:39:17.174Z
O148,C5472,P2862,86.45,1,2020-06-19 00:17:47,2024-05-02T05:39:17.174Z
O149,C3069,P11367,43.44,1,2020-06-24 04:09:10,2024-05-02T05:39:17.175Z
O150,C9442,P11994,92.86,1,2020-01-19 15:14:08,2024-05-02T05:39:17.175Z
O151,C1833,P4473,13.86,1,2020-09-24 11:37:14,2024-05-02T05:39:17.175Z
O152,C7029,P7793,78.87,0,2020-03-25 05:58:30,2024-05-02T05:39:17.175Z
O153,C1901,P2409,60.28,0,2021-04-25 17:18:58,2024-05-02T05:39:17.175Z
O154,C8087,P10256,3.25,0,2020-02-02 01:21:47,2024-05-02T05:39:17.175Z
O155,C809,P10635,16.11,1,2020-02-29 03:30:44,2024-05-02T05:39:17.175Z
O156,C5660,P8991,94.84,1,2021-01-21 18:02:36,2024-05-02T05:39:17.175Z
O157,C7284,P2267,1.3599999999999999,0,2020-07-12 09:51:06,2024-05-02T05:39:17.175Z
O158,C3107,P9346,100.75,0,2020-07-05 02:01:00,2024-05-02T05:39:17.175Z
O159,C1708,P11995,51.6,0,2020-04-12 03:13:39,2024-05-02T05:39:17.175Z
O160,C7393,P14263,46.08,1,2021-04-12 12:03:18,2024-05-02T05:39:17.175Z
O161,C1614,P9424,17.73,1,2020-03-03 02:55:31,2024-05-02T05:39:17.175Z
O162,C514,P12162,47.26,0,2020-02-11 09:46:13,2024-05-02T05:39:17.175Z
O163,C4382,P5384,36.64,1,2021-02-05 13:22:34,2024-05-02T05:39:17.175Z
O164,C1709,P4452,92.4,1,2021-02-23 01:33:31,2024-05-02T05:39:17.175Z
O165,C3744,P10610,98.21,0,2021-02-14 23:58:11,2024-05-02T05:39:17.175Z
O166,C2437,P8968,73.66,1,2020-05-29 06:08:07,2024-05-02T05:39:17.175Z
O167,C1989,P3671,97.71,0,2021-05-25 15:33:56,2024-05-02T05:39:17.175Z
O168,C4127,P6331,44.11,1,2020-09-13 22:56:18,2024-05-02T05:39:17.175Z
O169,C4330,P15088,79.14,1,2020-05-06 01:38:46,2024-05-02T05:39:17.175Z
O170,C4008,P6195,19.85,0,2021-02-18 02:48:50,2024-05-02T05:39:17.175Z
O171,C4546,P16418,15.99,1,2020-06-27 22:58:40,2024-05-02T05:39:17.175Z
O172,C1346,P12908,73.28,1,2021-05-16 01:22:24,2024-05-02T05:39:17.175Z
O173,C6860,P15336,32.75,1,2020-06-09 00:07:14,2024-05-02T05:39:17.175Z
O174,C2871,P3000,55.95,0,2020-09-08 11:43:31,2024-05-02T05:39:17.175Z
O175,C1681,P4736,36.65,0,2021-05-19 07:08:45,2024-05-02T05:39:17.175Z
O176,C8702,P9559,21.06,1,2020-06-27 19:50:29,2024-05-02T05:39:17.175Z
O177,C3753,P10758,10.7,1,2020-09-02 07:56:26,2024-05-02T05:39:17.175Z
O178,C6861,P6821,56.09,0,2020-09-28 02:04:45,2024-05-02T05:39:17.175Z
O179,C8486,P12520,85.97,0,2020-08-31 19:20:10,2024-05-02T05:39:17.175Z
O180,C207,P10825,100.27,0,2020-06-26 12:32:32,2024-05-02T05:39:17.175Z
O181,C8836,P9407,53.02,0,2020-07-25 16:43:14,2024-05-02T05:39:17.175Z
O182,C2622,P15629,58.63,1,2021-02-22 15:06:38,2024-05-02T05:39:17.175Z
O183,C6952,P14843,45.42,1,2021-05-05 17:50:30,2024-05-02T05:39:17.175Z
O184,C1969,P6431,9.96,1,2021-03-22 08:32:10,2024-05-02T05:39:17.175Z
O185,C1677,P9242,39.27,0,2021-02-23 07:03:39,2024-05-02T05:39:17.175Z
O186,C1777,P1616,29.57,1,2021-01-12 18:31:33,2024-05-02T05:39:17.175Z
O187,C9627,P2662,33.11,1,2020-11-20 20:30:55,2024-05-02T05:39:17.175Z
O188,C1189,P6636,18.13,1,2020-08-06 17:52:24,2024-05-02T05:39:17.175Z
O189,C4284,P9820,66.63,0,2021-01-18 20:54:31,2024-05-02T05:39:17.175Z
O190,C6127,P12946,17.5,1,2020-07-16 16:09:39,2024-05-02T05:39:17.175Z
O191,C3315,P16406,51.21,1,2021-01-14 06:02:14,2024-05-02T05:39:17.175Z
O192,C5697,P11708,97.55,1,2020-11-22 20:26:13,2024-05-02T05:39:17.175Z
O193,C5275,P15961,48.15,1,2020-04-15 14:32:43,2024-05-02T05:39:17.175Z
O194,C1701,P11256,86.28,1,2020-03-03 02:45:06,2024-05-02T05:39:17.175Z
O195,C4071,P9858,68.19,1,2020-01-09 16:44:15,2024-05-02T05:39:17.175Z
O196,C7813,P4106,90.3,1,2020-08-29 07:57:17,2024-05-02T05:39:17.175Z
O197,C7822,P10379,55.83,1,2021-01-19 11:33:28,2024-05-02T05:39:17.175Z
O198,C5177,P10442,8.04,1,2020-12-10 19:14:08,2024-05-02T05:39:17.175Z
O199,C4854,P2362,93.88,1,2020-05-26 13:37:27,2024-05-02T05:39:17.175Z
O200,C7901,P10302,36.24,1,2020-12-02 13:41:38,2024-05-02T05:39:17.175Z
O201,C6140,P14276,28.4,0,2020-07-13 01:18:43,2024-05-02T05:39:17.175Z
O202,C7860,P2136,86.67,1,2021-01-26 03:15:50,2024-05-02T05:39:17.175Z
O203,C3252,P14169,36.14,0,2020-10-17 00:46:42,2024-05-02T05:39:17.175Z
O204,C1918,P7704,87.84,1,2020-09-19 00:27:03,2024-05-02T05:39:17.175Z
O205,C512,P5438,42.23,0,2020-04-13 01:11:12,2024-05-02T05:39:17.175Z
O206,C3275,P1630,83.11,1,2021-02-15 17:39:11,2024-05-02T05:39:17.175Z
O207,C7631,P4880,6.58,0,2021-03-01 03:19:20,2024-05-02T05:39:17.175Z
O208,C2810,P12654,42.77,1,2020-05-01 04:27:54,2024-05-02T05:39:17.175Z
O209,C7259,P3018,43.66,1,2020-07-11 22:56:46,2024-05-02T05:39:17.175Z
O210,C7989,P253,25.65,1,2020-09-25 13:25:54,2024-05-02T05:39:17.175Z
O211,C136,P16940,61.82,0,2020-05-12 09:11:01,2024-05-02T05:39:17.175Z
O212,C4480,P781,11.38,0,2020-09-18 16:39:18,2024-05-02T05:39:17.175Z
O213,C3244,P9467,48.27,1,2020-09-24 23:20:05,2024-05-02T05:39:17.175Z
O214,C4165,P8277,54.73,1,2020-03-01 01:01:53,2024-05-02T05:39:17.175Z
O215,C6732,P15582,94.59,0,2020-10-26 13:14:24,2024-05-02T05:39:17.175Z
O216,C8274,P14168,35.03,0,2020-10-22 21:55:45,2024-05-02T05:39:17.175Z
O217,C8698,P4156,64.95,1,2020-09-21 03:41:08,2024-05-02T05:39:17.175Z
O218,C3362,P8028,30.35,1,2020-03-15 18:26:17,2024-05-02T05:39:17.176Z
O219,C7260,P4772,42.67,0,2021-02-23 17:38:41,2024-05-02T05:39:17.176Z
O220,C8539,P1078,82.61,1,2020-02-23 18:31:31,2024-05-02T05:39:17.176Z
O221,C884,P8189,48.93,1,2020-11-07 06:00:54,2024-05-02T05:39:17.176Z
O222,C5871,P6748,78.95,1,2021-02-22 04:06:37,2024-05-02T05:39:17.176Z
O223,C9113,P10484,37.6,1,2020-10-21 08:45:43,2024-05-02T05:39:17.176Z
O224,C8602,P205,56.36,1,2020-11-22 02:42:45,2024-05-02T05:39:17.176Z
O225,C5822,P13427,7.87,1,2020-09-24 19:07:05,2024-05-02T05:39:17.176Z
O226,C5051,P11560,5.86,1,2020-11-07 04:59:28,2024-05-02T05:39:17.176Z
O227,C5745,P13005,8.77,1,2021-03-29 06:10:16,2024-05-02T05:39:17.176Z
O228,C9724,P16872,84.69,1,2020-08-24 08:51:14,2024-05-02T05:39:17.176Z
O229,C4520,P8637,59.56,0,2021-05-23 00:21:43,2024-05-02T05:39:17.176Z
O230,C2401,P16815,64.02,1,2020-09-14 09:10:51,2024-05-02T05:39:17.176Z
O231,C4266,P7924,1.92,1,2020-04-05 13:28:45,2024-05-02T05:39:17.176Z
O232,C1694,P7,64.58,0,2021-03-02 02:45:33,2024-05-02T05:39:17.176Z
O233,C6946,P952,54.66,1,2020-06-16 23:35:27,2024-05-02T05:39:17.176Z
O234,C9490,P4963,95.42,1,2020-02-23 23:31:04,2024-05-02T05:39:17.176Z
O235,C1530,P3250,16.58,0,2020-06-12 01:03:05,2024-05-02T05:39:17.176Z
O236,C5836,P10517,6.18,1,2020-10-04 23:57:57,2024-05-02T05:39:17.176Z
O237,C6926,P5761,37.95,1,2020-01-19 04:06:46,2024-05-02T05:39:17.176Z
O238,C7015,P5936,3.13,1,2020-12-06 10:18:06,2024-05-02T05:39:17.176Z
O239,C8393,P16093,78.69,0,2020-10-19 07:21:53,2024-05-02T05:39:17.176Z
O240,C3620,P3921,4.7,1,2021-05-04 16:40:50,2024-05-02T05:39:17.176Z
O241,C1218,P4824,36.9,1,2020-01-02 02:49:24,2024-05-02T05:39:17.176Z
O242,C2056,P9105,66.55,0,2021-01-26 11:21:26,2024-05-02T05:39:17.176Z
O243,C9200,P9983,90.43,1,2020-10-20 04:59:27,2024-05-02T05:39:17.176Z
O244,C5778,P5343,100.85,0,2020-03-04 20:41:48,2024-05-02T05:39:17.176Z
O245,C8027,P14230,68.78,0,2020-10-05 03:05:28,2024-05-02T05:39:17.176Z
O246,C4804,P4593,29.97,0,2020-11-19 22:46:19,2024-05-02T05:39:17.176Z
O247,C5706,P8612,25.2,0,2020-02-26 12:43:39,2024-05-02T05:39:17.176Z
O248,C6084,P11438,27.69,1,2021-04-28 12:57:14,2024-05-02T05:39:17.176Z
O249,C5892,P16313,82.37,0,2020-06-26 10:13:52,2024-05-02T05:39:17.176Z
O250,C1646,P6951,52.83,1,2021-02-11 11:11:23,2024-05-02T05:39:17.176Z
O251,C2174,P12009,10.29,1,2021-01-08 20:34:50,2024-05-02T05:39:17.176Z
O252,C260,P3282,70.45,1,2020-01-07 21:36:41,2024-05-02T05:39:17.176Z
O253,C9766,P15940,76.96,0,2020-07-03 20:17:47,2024-05-02T05:39:17.176Z
O254,C3839,P155,29.66,1,2020-04-22 19:43:55,2024-05-02T05:39:17.176Z
O255,C8788,P8044,62.96,0,2020-09-20 08:29:28,2024-05-02T05:39:17.176Z
O256,C1270,P5416,31.54,1,2020-02-12 00:51:54,2024-05-02T05:39:17.176Z
O257,C8275,P1132,5.6899999999999995,0,2020-04-15 08:48:31,2024-05-02T05:39:17.176Z
O258,C8993,P9962,4.79,1,2020-12-20 14:10:45,2024-05-02T05:39:17.176Z
O259,C8820,P10430,30.3,1,2021-04-09 01:34:45,2024-05-02T05:39:17.176Z
O260,C4968,P14075,99.12,1,2020-07-08 17:47:59,2024-05-02T05:39:17.176Z
O261,C1366,P2094,48.61,1,2020-01-31 05:13:16,2024-05-02T05:39:17.176Z
O262,C4588,P13827,68.2,0,2020-05-12 03:32:03,2024-05-02T05:39:17.176Z
O263,C8927,P12498,98.85,1,2021-03-07 19:47:29,2024-05-02T05:39:17.176Z
O264,C2228,P4080,95.37,1,2020-08-01 14:37:12,2024-05-02T05:39:17.176Z
O265,C4142,P8679,67.27,1,2021-05-02 00:14:47,2024-05-02T05:39:17.176Z
O266,C2650,P7432,25.16,0,2021-04-04 20:32:18,2024-05-02T05:39:17.176Z
O267,C9028,P11763,66.97,1,2020-02-13 06:14:22,2024-05-02T05:39:17.176Z
O268,C3487,P9529,38.26,0,2020-11-10 08:28:52,2024-05-02T05:39:17.176Z
O269,C5616,P13454,85.3,1,2020-08-24 16:03:11,2024-05-02T05:39:17.176Z
O270,C9112,P3242,43.97,1,2021-01-14 15:20:46,2024-05-02T05:39:17.176Z
O271,C4473,P14904,22.86,1,2020-11-15 09:16:01,2024-05-02T05:39:17.176Z
O272,C7380,P10161,26.09,1,2020-01-04 03:23:36,2024-05-02T05:39:17.176Z
O273,C1497,P883,96.21,1,2020-07-12 16:38:50,2024-05-02T05:39:17.176Z
O274,C8726,P12035,85.6,1,2021-03-29 08:55:53,2024-05-02T05:39:17.176Z
O275,C7035,P2943,23.04,1,2020-11-19 04:59:36,2024-05-02T05:39:17.176Z
O276,C2051,P4508,55.63,1,2020-08-26 23:13:56,2024-05-02T05:39:17.176Z
O277,C474,P6509,11.64,1,2020-02-26 22:49:13,2024-05-02T05:39:17.176Z
O278,C6237,P15495,91.8,0,2021-05-21 06:51:40,2024-05-02T05:39:17.176Z
O279,C8978,P9769,66.4,1,2020-09-07 20:52:30,2024-05-02T05:39:17.176Z
O280,C1936,P14448,30.88,1,2020-05-28 11:40:28,2024-05-02T05:39:17.176Z
O281,C7881,P1400,86.49,0,2021-02-13 04:13:44,2024-05-02T05:39:17.176Z
O282,C5229,P14639,80.25,1,2021-04-26 13:49:04,2024-05-02T05:39:17.176Z
O283,C5788,P9863,28.4,1,2021-02-08 04:35:40,2024-05-02T05:39:17.176Z
O284,C9342,P16379,44.54,1,2020-10-23 20:50:26,2024-05-02T05:39:17.176Z
O285,C7479,P12870,13.26,0,2020-06-17 06:04:21,2024-05-02T05:39:17.176Z
O286,C9884,P11104,40.14,1,2020-05-31 10:47:27,2024-05-02T05:39:17.177Z
O287,C2223,P11761,81.08,1,2021-02-03 16:55:35,2024-05-02T05:39:17.177Z
O288,C891,P10056,60.71,1,2020-10-08 11:11:20,2024-05-02T05:39:17.177Z
O289,C8997,P1667,47.56,1,2020-01-09 10:04:06,2024-05-02T05:39:17.177Z
O290,C9913,P15317,7.24,1,2020-11-15 21:22:08,2024-05-02T05:39:17.177Z
O291,C2105,P385,47.38,0,2020-11-02 16:08:41,2024-05-02T05:39:17.177Z
O292,C6940,P4054,29.26,0,2021-02-02 23:02:25,2024-05-02T05:39:17.177Z
O293,C9032,P1187,31.5,0,2020-08-17 05:22:36,2024-05-02T05:39:17.177Z
O294,C1720,P8550,7.61,0,2020-08-21 21:33:38,2024-05-02T05:39:17.177Z
O295,C971,P7024,61.74,1,2020-07-09 02:31:37,2024-05-02T05:39:17.177Z
O296,C4597,P2249,53.9,1,2021-05-16 02:36:04,2024-05-02T05:39:17.177Z
